# Ledge longevity soak — 2026-07-02
duration_s=360 sample_interval_s=5 rounds=2675 push_errors=0
SAMPLES 74
WARMUP_SKIPPED 18
STEADY_FIRST_HALF_MEAN_KIB 34623
STEADY_LAST_HALF_MEAN_KIB 38847
MAX_KIB 41168
STEADY_GROWTH_PCT 12.2
# raw samples (elapsed_s	rss_kib):
0	19520
5	30480
10	31232
15	31536
20	32064
25	32336
30	32560
35	32624
40	32688
45	32704
50	32736
55	32832
60	32880
65	32992
70	33024
75	33120
80	33264
85	33280
90	33360
95	33424
100	33792
105	33792
110	33872
115	33872
120	33952
125	34512
130	34544
135	34608
140	34608
145	34608
150	34608
155	34608
160	34800
165	34848
170	34896
175	34896
180	34928
185	35024
190	35056
195	35088
200	35200
205	35232
210	35280
215	35296
220	35328
225	35424
230	35456
235	35920
240	35920
245	36400
250	37040
255	37136
260	37136
265	37536
270	37648
275	37792
280	37904
285	38384
290	38496
295	38576
300	39664
305	39680
310	40160
315	40160
320	40192
326	40224
331	40240
336	40688
341	40720
346	40720
351	40736
356	40864
361	41168
366	41168
